input_address,cbsa_code,cbsa_name,cbsa_type,scrape_timestamp,service_name_group,lot_size,treatment_area,cost,discount,net_cost,total_cost
"1801 APACHE WAY, CLARKSVILLE, TN 37042",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:55.591520,Mosquito Control,4126.0,4126.0,79.0,0.0,79.0,79.0
"1801 APACHE WAY, CLARKSVILLE, TN 37042",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:55.591520,Aeration,4126.0,4126.0,182.1,0.0,182.1,182.1
"1801 APACHE WAY, CLARKSVILLE, TN 37042",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:55.591520,Aeration and Overseeding,4126.0,4126.0,334.3,0.0,334.3,334.3
"1801 APACHE WAY, CLARKSVILLE, TN 37042",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:55.591520,Soil Management,4126.0,4126.0,160.05,0.0,160.05,160.05
"3605 ROTHMOOR DR, KNOXVILLE, TN 37918",28940,"Knoxville, TN",Metropolitan,2026-03-17T21:21:07.184641,Weed Control,8130.0,8130.0,98.0,0.0,98.0,98.0
"3605 ROTHMOOR DR, KNOXVILLE, TN 37918",28940,"Knoxville, TN",Metropolitan,2026-03-17T21:21:07.184641,Fertilization,8130.0,8130.0,98.0,0.0,98.0,98.0
"3605 ROTHMOOR DR, KNOXVILLE, TN 37918",28940,"Knoxville, TN",Metropolitan,2026-03-17T21:21:07.184641,Disease Control,8130.0,8130.0,131.3,0.0,131.3,131.3
"3605 ROTHMOOR DR, KNOXVILLE, TN 37918",28940,"Knoxville, TN",Metropolitan,2026-03-17T21:21:07.184641,Mosquito Control,8130.0,8130.0,65.0,0.0,65.0,65.0
"3605 ROTHMOOR DR, KNOXVILLE, TN 37918",28940,"Knoxville, TN",Metropolitan,2026-03-17T21:21:07.184641,Aeration,8130.0,8130.0,267.05,0.0,267.05,267.05
"3605 ROTHMOOR DR, KNOXVILLE, TN 37918",28940,"Knoxville, TN",Metropolitan,2026-03-17T21:21:07.184641,Aeration and Overseeding,8130.0,8130.0,506.2,0.0,506.2,506.2
"3605 ROTHMOOR DR, KNOXVILLE, TN 37918",28940,"Knoxville, TN",Metropolitan,2026-03-17T21:21:07.184641,Grub Control,8130.0,8130.0,147.05,0.0,147.05,147.05
"3605 ROTHMOOR DR, KNOXVILLE, TN 37918",28940,"Knoxville, TN",Metropolitan,2026-03-17T21:21:07.184641,Soil Management,8130.0,8130.0,279.7,0.0,279.7,279.7
"6066 ABIGAIL BLUFFS DR, MEMPHIS, TN 38135",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:17.078677,Weed Control,7889.7,7889.7,86.35,0.0,86.35,86.35
"6066 ABIGAIL BLUFFS DR, MEMPHIS, TN 38135",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:17.078677,Fertilization,7889.7,7889.7,86.35,0.0,86.35,86.35
"6066 ABIGAIL BLUFFS DR, MEMPHIS, TN 38135",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:17.078677,Liming,7889.7,7889.7,86.35,0.0,86.35,86.35
"6066 ABIGAIL BLUFFS DR, MEMPHIS, TN 38135",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:17.078677,Disease Control,7889.7,7889.7,120.05,0.0,120.05,120.05
